id,workbook_row,variable,meaning,priority,mode,implementation,evidence_group,mapping,remaining_work
I172,124,I2C Device.LastSuccess,Time of the last successful device transaction.,Required,Both,partial,i2c,Named device-specific carrier/SFP/regulator observations; internal driver identity discovery,No complete typed per-device inventory/driver/success ledger across all expected devices; a NACK is not absence.
I173,125,I2C Device.ErrorCount,Cumulative device transaction errors for this boot.,Required,Both,missing,i2c,No boot-lifetime per-device transaction-error counters,Instrument actual transaction outcomes and epoch coverage rather than deriving counts from status requests.
I174,126,SPI.Present,PL SPI device and /dev/spidev3.0 are present.,Required,Both,partial,spi,BoardSPI resolves kernel SPI device by controller 9c020000 and chip select,No typed device-node presence export; retire fixed /dev/spidev3.0 assumption in favor of controller-bound identity.
I175,127,SPI.Functional,Bounded current-monitor SPI identity/read transaction succeeds.,Required,Both,partial,spi,"CurrentMonitor physical-channel result includes ADC identity, success/quality and acquisition times",Only per-request ADC evidence; add a retained SPI functional/last-success observation without triggering an arbitrary measurement.
I176,128,SPI.Owner,Component currently serializing SPI access.,Required,Both,missing,spi,No exported SPI owner or cumulative error ledger,Expose the actual serializer/transaction outcomes with explicit observation epoch; do not infer history from a successful ADC read.
I177,129,SPI.ErrorCount,Cumulative SPI transaction errors.,Required,Both,missing,spi,No exported SPI owner or cumulative error ledger,Expose the actual serializer/transaction outcomes with explicit observation epoch; do not infer history from a successful ADC read.
I178,130,SPI.LastSuccess,Time of the last successful SPI transaction.,Required,Both,partial,spi,"CurrentMonitor physical-channel result includes ADC identity, success/quality and acquisition times",Only per-request ADC evidence; add a retained SPI functional/last-success observation without triggering an arbitrary measurement.
I179,131,Board Rails.3V3PDSVoltage,Measured 3V3PDS board rail voltage.,Required,Both,implemented,rails,GeneralInfo.board_voltage_status.named_voltages[name=3V3PDS].volts,Complete-scan quality/time must be checked; absolute voltage calibration remains unqualified.
I180,132,Board Rails.3V3PDSStatus,Quality/fault state for the 3V3PDS board rail.,Required,Both,partial,rails,BoardVoltageStatus common quality/detail and NaN on unavailable/stale/error,Acquisition quality exists; per-rail voltage fault thresholds/health interpretation are not implemented.
I181,133,Board Rails.1V8PDSVoltage,Measured 1V8PDS board rail voltage.,Required,Both,implemented,rails,GeneralInfo.board_voltage_status.named_voltages[name=1V8PDS].volts,Complete-scan quality/time must be checked; absolute voltage calibration remains unqualified.
I182,134,Board Rails.1V8PDSStatus,Quality/fault state for the 1V8PDS board rail.,Required,Both,partial,rails,BoardVoltageStatus common quality/detail and NaN on unavailable/stale/error,Acquisition quality exists; per-rail voltage fault thresholds/health interpretation are not implemented.
I183,135,Board Rails.3V3AVoltage,Measured 3V3A board rail voltage.,Required,Both,implemented,rails,GeneralInfo.board_voltage_status.named_voltages[name=3V3A].volts,Complete-scan quality/time must be checked; absolute voltage calibration remains unqualified.
I184,136,Board Rails.3V3AStatus,Quality/fault state for the 3V3A board rail.,Required,Both,partial,rails,BoardVoltageStatus common quality/detail and NaN on unavailable/stale/error,Acquisition quality exists; per-rail voltage fault thresholds/health interpretation are not implemented.
I185,137,Board Rails.1V8AVoltage,Measured 1V8A board rail voltage.,Required,Both,implemented,rails,GeneralInfo.board_voltage_status.named_voltages[name=1V8A].volts,Complete-scan quality/time must be checked; absolute voltage calibration remains unqualified.
I186,138,Board Rails.1V8AStatus,Quality/fault state for the 1V8A board rail.,Required,Both,partial,rails,BoardVoltageStatus common quality/detail and NaN on unavailable/stale/error,Acquisition quality exists; per-rail voltage fault thresholds/health interpretation are not implemented.
I187,139,Board Rails.Minus5VAVoltage,Measured Minus5VA board rail voltage.,Required,Both,implemented,rails,GeneralInfo.board_voltage_status.named_voltages[name=Minus5VA].volts,Complete-scan quality/time must be checked; absolute voltage calibration remains unqualified.
I188,140,Board Rails.Minus5VAStatus,Quality/fault state for the Minus5VA board rail.,Required,Both,partial,rails,BoardVoltageStatus common quality/detail and NaN on unavailable/stale/error,Acquisition quality exists; per-rail voltage fault thresholds/health interpretation are not implemented.
I189,141,PMBus Regulators.Voltage,Measured regulator output voltage.,Required,Both,implemented,regulators,RegulatorMonitor.output_voltage_v/voltage_quality from READ_VOUT,"Remote-sense module voltage, not guaranteed load voltage or metrology."
I190,142,PMBus Regulators.Current,Measured regulator output current.,Required,Both,implemented,regulators,RegulatorMonitor.output_current_a/current_quality from READ_IOUT,Module source current with device limitations; no calibrated sink-current or external-current claim.
I191,143,PMBus Regulators.Power,Measured/derived regulator output power.,Required,Both,missing,regulators,No regulator output-power observation,"If derived, explicitly label V*I with source times/quality and non-simultaneous sampling; do not invent a hardware power register."
I192,144,PMBus Regulators.Temperature,Regulator temperature readback.,Required,Both,implemented,regulators,RegulatorMonitor.temperature from READ_TEMPERATURE_2,Module temperature placement/calibration not independently established; not ambient or SoC temperature.
I193,145,PMBus Regulators.StatusByte,Raw PMBus STATUS_BYTE.,Required,Both,missing,regulators,No STATUS_BYTE command/explicit observation; STATUS_WORD is sampled instead,Qualify documented read-only STATUS_BYTE or explicitly define a labeled derived low byte; do not claim an unperformed command.
I194,146,PMBus Regulators.StatusWord,Raw PMBus STATUS_WORD.,Required,Both,implemented,regulators,registers STATUS_WORD_BEFORE/STATUS_WORD_AFTER (0x79),Sequential potentially latched status; inspect changed flag and retained raw readings.
I195,147,PMBus Regulators.StatusVout,PMBus output-voltage fault bitmap.,Required,Both,implemented,regulators,registers STATUS_VOUT (0x7a) and decoded flags,Read-only PEC result; no fault clearing or aggregate healthy claim.
I196,148,PMBus Regulators.StatusIout,PMBus output-current fault bitmap.,Required,Both,implemented,regulators,registers STATUS_IOUT (0x7b) and decoded flags,Read-only PEC result; no fault clearing or aggregate healthy claim.
I197,149,PMBus Regulators.StatusTemperature,PMBus temperature fault bitmap.,Required,Both,implemented,regulators,registers STATUS_TEMPERATURE (0x7d) and decoded flags,Read-only PEC result; host alarm policy remains separate.
I198,150,PMBus Regulators.StatusCml,PMBus communication/memory/logic fault bitmap.,Required,Both,implemented,regulators,registers STATUS_CML_BEFORE/STATUS_CML_AFTER (0x7e) and decoded flags,Existing U42/U33 CML flags are retained; raw success is not clean regulator health.
I199,151,PMBus Regulators.Health,Decoded regulator health summary.,Required,Both,partial,regulators,"asserted_status_flags, per-reading quality and identity/status brackets",No complete regulator-health summary; manufacturer-specific status/VIN and approved health policy are unqualified.
I200,152,Temperature.Celsius,Typed temperature reading.,Required,Both,implemented,temperature,Named TemperatureStatus value/quality/host observation times plus TemperatureAlarm state/thresholds,Four main sensors plus opt-in SFP/regulator temperatures; physical high/fault cases and calibration remain unqualified.
I201,153,Temperature.Status,"Good, Warning, High, Critical, Missing, or Invalid.",Required,Both,implemented,temperature,Named TemperatureStatus value/quality/host observation times plus TemperatureAlarm state/thresholds,Four main sensors plus opt-in SFP/regulator temperatures; physical high/fault cases and calibration remain unqualified.
I202,154,Temperature.LastUpdate,Source time of the temperature reading.,Required,Both,implemented,temperature,Named TemperatureStatus value/quality/host observation times plus TemperatureAlarm state/thresholds,Four main sensors plus opt-in SFP/regulator temperatures; physical high/fault cases and calibration remain unqualified.
I203,155,HD Mezzanine.BlockEnabled,HD mezzanine I2C block is selected/enabled.,Conditional on installed hardware,Both; HD mezzanine only,missing,mezzanine,Driver isAfeBlockEnabled/isAfeBlockConfigured exist internally; no read-only typed export,Expose explicit enable/configured state with validity/invalidation; no fitted mezzanines to test on DAPHNE-015.
I204,156,HD Mezzanine.Configured,HD mezzanine monitor/protection configuration is valid.,Conditional on installed hardware,Both; HD mezzanine only,missing,mezzanine,Driver isAfeBlockEnabled/isAfeBlockConfigured exist internally; no read-only typed export,Expose explicit enable/configured state with validity/invalidation; no fitted mezzanines to test on DAPHNE-015.
I207,157,HD Mezzanine.Voltage5V,Measured 5 V rail voltage.,Conditional on installed hardware,Both; HD mezzanine only,partial,mezzanine,cmd_readHDMezzStatus_response.measured_voltage5v from independent cached atomics,Add coherent quality/timed cache with invalidation on disabled/unconfigured/failed/stale monitoring; old values must not look fresh or valid.
I208,158,HD Mezzanine.Current5V,Measured 5 V rail current.,Conditional on installed hardware,Both; HD mezzanine only,partial,mezzanine,cmd_readHDMezzStatus_response.measured_current5v from independent cached atomics,Add coherent quality/timed cache with invalidation on disabled/unconfigured/failed/stale monitoring; old values must not look fresh or valid.
I209,159,HD Mezzanine.Power5V,Measured 5 V rail power.,Conditional on installed hardware,Both; HD mezzanine only,partial,mezzanine,cmd_readHDMezzStatus_response.measured_power5v from independent cached atomics,Add coherent quality/timed cache with invalidation on disabled/unconfigured/failed/stale monitoring; old values must not look fresh or valid.
I210,160,HD Mezzanine.Alert5V,Latched INA232 5 V alert.,Conditional on installed hardware,Both; HD mezzanine only,partial,mezzanine,cmd_readHDMezzStatus_response.alert_5v from independent cached atomics,Add coherent quality/timed cache with invalidation on disabled/unconfigured/failed/stale monitoring; old values must not look fresh or valid.
I211,161,HD Mezzanine.Voltage3V3,Measured 3.3 V rail voltage.,Conditional on installed hardware,Both; HD mezzanine only,partial,mezzanine,cmd_readHDMezzStatus_response.measured_voltage3v3 from independent cached atomics,Add coherent quality/timed cache with invalidation on disabled/unconfigured/failed/stale monitoring; old values must not look fresh or valid.
I212,162,HD Mezzanine.Current3V3,Measured 3.3 V rail current.,Conditional on installed hardware,Both; HD mezzanine only,partial,mezzanine,cmd_readHDMezzStatus_response.measured_current3v3 from independent cached atomics,Add coherent quality/timed cache with invalidation on disabled/unconfigured/failed/stale monitoring; old values must not look fresh or valid.
I213,163,HD Mezzanine.Power3V3,Measured 3.3 V rail power.,Conditional on installed hardware,Both; HD mezzanine only,partial,mezzanine,cmd_readHDMezzStatus_response.measured_power3v3 from independent cached atomics,Add coherent quality/timed cache with invalidation on disabled/unconfigured/failed/stale monitoring; old values must not look fresh or valid.
I214,164,HD Mezzanine.Alert3V3,Latched INA232 3.3 V alert.,Conditional on installed hardware,Both; HD mezzanine only,partial,mezzanine,cmd_readHDMezzStatus_response.alert_3v3 from independent cached atomics,Add coherent quality/timed cache with invalidation on disabled/unconfigured/failed/stale monitoring; old values must not look fresh or valid.
I215,165,HD Mezzanine.RShunt5V,Configured 5 V shunt resistance.,Conditional on installed hardware,Both; HD mezzanine only,partial,mezzanine,cmd_readHDMezzBlockConfig_response.r_shunt_5v from driver configuration cache,Distinguish requested/derived settings from validated active hardware configuration and expose validity; qualify on populated hardware.
I216,166,HD Mezzanine.RShunt3V3,Configured 3.3 V shunt resistance.,Conditional on installed hardware,Both; HD mezzanine only,partial,mezzanine,cmd_readHDMezzBlockConfig_response.r_shunt_3v3 from driver configuration cache,Distinguish requested/derived settings from validated active hardware configuration and expose validity; qualify on populated hardware.
I217,167,HD Mezzanine.MaxCurrentScale5V,5 V measurement full-scale current configuration.,Conditional on installed hardware,Both; HD mezzanine only,partial,mezzanine,cmd_readHDMezzBlockConfig_response.max_current_5v_scale from driver configuration cache,Distinguish requested/derived settings from validated active hardware configuration and expose validity; qualify on populated hardware.
I218,168,HD Mezzanine.MaxCurrentScale3V3,3.3 V measurement full-scale current configuration.,Conditional on installed hardware,Both; HD mezzanine only,partial,mezzanine,cmd_readHDMezzBlockConfig_response.max_current_3v3_scale from driver configuration cache,Distinguish requested/derived settings from validated active hardware configuration and expose validity; qualify on populated hardware.
I219,169,HD Mezzanine.ShutdownCurrent5V,5 V hardware alert/shutdown-current configuration.,Conditional on installed hardware,Both; HD mezzanine only,partial,mezzanine,cmd_readHDMezzBlockConfig_response.max_current_5v_shutdown from driver configuration cache,Distinguish requested/derived settings from validated active hardware configuration and expose validity; qualify on populated hardware.
I220,170,HD Mezzanine.ShutdownCurrent3V3,3.3 V hardware alert/shutdown-current configuration.,Conditional on installed hardware,Both; HD mezzanine only,partial,mezzanine,cmd_readHDMezzBlockConfig_response.max_current_3v3_shutdown from driver configuration cache,Distinguish requested/derived settings from validated active hardware configuration and expose validity; qualify on populated hardware.
I221,171,HD Mezzanine.MaxPower5V,Derived 5 V maximum measurable power.,Conditional on installed hardware,Both; HD mezzanine only,partial,mezzanine,cmd_readHDMezzBlockConfig_response.max_power_5v from driver configuration cache,Distinguish requested/derived settings from validated active hardware configuration and expose validity; qualify on populated hardware.
I222,172,HD Mezzanine.MaxPower3V3,Derived 3.3 V maximum measurable power.,Conditional on installed hardware,Both; HD mezzanine only,partial,mezzanine,cmd_readHDMezzBlockConfig_response.max_power_3v3 from driver configuration cache,Distinguish requested/derived settings from validated active hardware configuration and expose validity; qualify on populated hardware.
I223,173,HD Mezzanine.CurrentLsb5V,Configured INA232 5 V current LSB.,Conditional on installed hardware,Both; HD mezzanine only,partial,mezzanine,cmd_readHDMezzBlockConfig_response.current_lsb_5v from driver configuration cache,Distinguish requested/derived settings from validated active hardware configuration and expose validity; qualify on populated hardware.
I224,174,HD Mezzanine.CurrentLsb3V3,Configured INA232 3.3 V current LSB.,Conditional on installed hardware,Both; HD mezzanine only,partial,mezzanine,cmd_readHDMezzBlockConfig_response.current_lsb_3v3 from driver configuration cache,Distinguish requested/derived settings from validated active hardware configuration and expose validity; qualify on populated hardware.
I225,175,HD Mezzanine.ShuntCal5V,INA232 5 V calibration register readback.,Conditional on installed hardware,Both; HD mezzanine only,partial,mezzanine,cmd_readHDMezzBlockConfig_response.shunt_cal_5v/shunt_cal_3v3 via getShuntCal(),"Getter returns cached calibration code, not fresh INA232 register readback; implement identity-gated readback and mismatch/error tests."
I226,176,HD Mezzanine.ShuntCal3V3,INA232 3.3 V calibration register readback.,Conditional on installed hardware,Both; HD mezzanine only,partial,mezzanine,cmd_readHDMezzBlockConfig_response.shunt_cal_5v/shunt_cal_3v3 via getShuntCal(),"Getter returns cached calibration code, not fresh INA232 register readback; implement identity-gated readback and mismatch/error tests."
I227,177,SFP.Present,SFP module is present.,Conditional on installed transceiver and supported observation,Both,implemented,sfp,SFPMonitor.present: optional true after validated identity EEPROM,Three unanswered cages remain unknown; do not infer absent modules or wiring faults from I2C failure.
I228,178,SFP.LossOfSignal,Receiver loss-of-signal input is asserted.,Conditional on installed transceiver and supported observation,Both,implemented,sfp,Advertised optional SFPMonitor.loss_of_signal/tx_fault/tx_disabled from A2 status,"Module-reported flags only, not independent board GPIO readback; unsupported flags remain absent."
I229,179,SFP.TxFault,SFP transmitter fault input is asserted.,Conditional on installed transceiver and supported observation,Both,implemented,sfp,Advertised optional SFPMonitor.loss_of_signal/tx_fault/tx_disabled from A2 status,"Module-reported flags only, not independent board GPIO readback; unsupported flags remain absent."
I230,180,SFP.TxDisabled,SFP transmitter is disabled.,Conditional on installed transceiver and supported observation,Both,implemented,sfp,Advertised optional SFPMonitor.loss_of_signal/tx_fault/tx_disabled from A2 status,"Module-reported flags only, not independent board GPIO readback; unsupported flags remain absent."
I231,181,SFP.RateSelect,SFP rate-select state when wired.,Conditional on installed transceiver and supported observation,Both,partial,sfp,SFPMonitor.rate_select_raw: A2 byte110 bits5:3,Not a verified physical rate-select wiring/function observation; requires connector/PCB evidence.
I232,182,SFP.VendorName,Non-timing SFP roles only (ccm/data0..data3). SFP vendor name from EEPROM.,Conditional on installed transceiver and supported observation,Both,implemented,sfp,SFPMonitor.vendor,Check checksum/advertised support/calibration/quality and optional presence; unopened cages and physical Hermes mapping remain unqualified.
I233,183,SFP.VendorOui,Non-timing SFP roles only (ccm/data0..data3). SFP vendor OUI.,Conditional on installed transceiver and supported observation,Both,implemented,sfp,SFPMonitor.vendor_oui,Check checksum/advertised support/calibration/quality and optional presence; unopened cages and physical Hermes mapping remain unqualified.
I234,184,SFP.PartNumber,Non-timing SFP roles only (ccm/data0..data3). SFP vendor part number.,Conditional on installed transceiver and supported observation,Both,implemented,sfp,SFPMonitor.part,Check checksum/advertised support/calibration/quality and optional presence; unopened cages and physical Hermes mapping remain unqualified.
I235,185,SFP.Revision,Non-timing SFP roles only (ccm/data0..data3). SFP vendor revision.,Conditional on installed transceiver and supported observation,Both,implemented,sfp,SFPMonitor.revision,Check checksum/advertised support/calibration/quality and optional presence; unopened cages and physical Hermes mapping remain unqualified.
I236,186,SFP.SerialNumber,Non-timing SFP roles only (ccm/data0..data3). SFP serial number.,Conditional on installed transceiver and supported observation,Both,implemented,sfp,SFPMonitor.serial,Check checksum/advertised support/calibration/quality and optional presence; unopened cages and physical Hermes mapping remain unqualified.
I237,187,SFP.DateCode,Non-timing SFP roles only (ccm/data0..data3). SFP manufacturing date code.,Conditional on installed transceiver and supported observation,Both,implemented,sfp,SFPMonitor.date_code,Check checksum/advertised support/calibration/quality and optional presence; unopened cages and physical Hermes mapping remain unqualified.
I238,188,SFP.NominalBitRateMbps,Non-timing SFP roles only (ccm/data0..data3). SFP nominal signaling rate.,Conditional on installed transceiver and supported observation,Both,partial,sfp,SFPMonitor.nominal_signaling_rate_mbd,"Workbook Mbps name/unit conflicts with module line signaling rate in MBd; agree corrected semantics, not payload or negotiated link throughput."
I239,189,SFP.WavelengthNm,Non-timing SFP roles only (ccm/data0..data3). SFP nominal transmit wavelength.,Conditional on installed transceiver and supported observation,Both,implemented,sfp,SFPMonitor.wavelength_nm,Check checksum/advertised support/calibration/quality and optional presence; unopened cages and physical Hermes mapping remain unqualified.
I240,190,SFP.TemperatureCelsius,Non-timing SFP roles only (ccm/data0..data3). SFF-8472 module temperature.,Conditional on installed transceiver and supported observation,Both,implemented,sfp,SFPMonitor.temperature_c,Check checksum/advertised support/calibration/quality and optional presence; unopened cages and physical Hermes mapping remain unqualified.
I241,191,SFP.SupplyVoltage,Non-timing SFP roles only (ccm/data0..data3). SFF-8472 module supply voltage.,Conditional on installed transceiver and supported observation,Both,implemented,sfp,SFPMonitor.vcc_v,Check checksum/advertised support/calibration/quality and optional presence; unopened cages and physical Hermes mapping remain unqualified.
I242,192,SFP.TxBiasCurrent,Non-timing SFP roles only (ccm/data0..data3). SFF-8472 laser bias current.,Conditional on installed transceiver and supported observation,Both,implemented,sfp,SFPMonitor.tx_bias_ma,Check checksum/advertised support/calibration/quality and optional presence; unopened cages and physical Hermes mapping remain unqualified.
I243,193,SFP.TxOpticalPower,Non-timing SFP roles only (ccm/data0..data3). SFF-8472 transmit optical power.,Conditional on installed transceiver and supported observation,Both,implemented,sfp,SFPMonitor.tx_power_mw,Check checksum/advertised support/calibration/quality and optional presence; unopened cages and physical Hermes mapping remain unqualified.
I244,194,SFP.RxOpticalPower,Non-timing SFP roles only (ccm/data0..data3). SFF-8472 receive optical power.,Conditional on installed transceiver and supported observation,Both,implemented,sfp,SFPMonitor.rx_power_mw,Check checksum/advertised support/calibration/quality and optional presence; unopened cages and physical Hermes mapping remain unqualified.
I245,195,SFP.AlarmFlags,Non-timing SFP roles only (ccm/data0..data3). Decoded SFF-8472 alarm flags.,Conditional on installed transceiver and supported observation,Both,implemented,sfp,SFPMonitor.alarm_flags and quantities flag fields,Check checksum/advertised support/calibration/quality and optional presence; unopened cages and physical Hermes mapping remain unqualified.
I246,196,SFP.WarningFlags,Non-timing SFP roles only (ccm/data0..data3). Decoded SFF-8472 warning flags.,Conditional on installed transceiver and supported observation,Both,implemented,sfp,SFPMonitor.warning_flags and quantities flag fields,Check checksum/advertised support/calibration/quality and optional presence; unopened cages and physical Hermes mapping remain unqualified.
I247,197,SFP.DomSupported,Non-timing SFP roles only (ccm/data0..data3). Digital optical monitoring is supported.,Conditional on installed transceiver and supported observation,Both,implemented,sfp,SFPMonitor.dom_supported,Check checksum/advertised support/calibration/quality and optional presence; unopened cages and physical Hermes mapping remain unqualified.
I248,198,SFP.EepromReadable,Non-timing SFP roles only (ccm/data0..data3). SFP identity/diagnostic EEPROM is readable.,Conditional on installed transceiver and supported observation,Both,implemented,sfp,SFPMonitor.identity_eeprom_readable/diagnostic_eeprom_readable,Check checksum/advertised support/calibration/quality and optional presence; unopened cages and physical Hermes mapping remain unqualified.
I249,199,Fans.Present,Fan is installed/detected.,Required,Both,missing,fans,FanStatus schema only; no populated fan records,Add read-only exact-ABI PWM/tach observations first; validate tach conversion/population and approved stall policy before presence/RPM/stall/control-mode claims.
I250,200,Fans.PwmCommand,Applied fan PWM/control code.,Required,Both,missing,fans,FanStatus schema only; no populated fan records,Add read-only exact-ABI PWM/tach observations first; validate tach conversion/population and approved stall policy before presence/RPM/stall/control-mode claims.
I251,201,Fans.TachometerRaw,Raw FPGA fan-speed counter.,Required,Both,missing,fans,FanStatus schema only; no populated fan records,Add read-only exact-ABI PWM/tach observations first; validate tach conversion/population and approved stall policy before presence/RPM/stall/control-mode claims.
I252,202,Fans.SpeedRpm,Fan speed after the validated tachometer conversion.,Required,Both,missing,fans,FanStatus schema only; no populated fan records,Add read-only exact-ABI PWM/tach observations first; validate tach conversion/population and approved stall policy before presence/RPM/stall/control-mode claims.
I253,203,Fans.Running,Fan tachometer indicates rotation.,Required,Both,missing,fans,FanStatus schema only; no populated fan records,Add read-only exact-ABI PWM/tach observations first; validate tach conversion/population and approved stall policy before presence/RPM/stall/control-mode claims.
I254,204,Fans.Stalled,Commanded fan is below the approved minimum speed.,Required,Both,missing,fans,FanStatus schema only; no populated fan records,Add read-only exact-ABI PWM/tach observations first; validate tach conversion/population and approved stall policy before presence/RPM/stall/control-mode claims.
I255,205,Fans.StallCount,Cumulative detected stalls for this boot.,Required,Both,missing,fans,FanStatus schema only; no populated fan records,Add read-only exact-ABI PWM/tach observations first; validate tach conversion/population and approved stall policy before presence/RPM/stall/control-mode claims.
I256,206,Fans.ControlMode,Automatic thermal control or maintenance override.,Required,Both,missing,fans,FanStatus schema only; no populated fan records,Add read-only exact-ABI PWM/tach observations first; validate tach conversion/population and approved stall policy before presence/RPM/stall/control-mode claims.
I257,207,Fans.LastUpdate,Source time of the latest fan sample.,Required,Both,missing,fans,FanStatus schema only; no populated fan records,Add read-only exact-ABI PWM/tach observations first; validate tach conversion/population and approved stall policy before presence/RPM/stall/control-mode claims.
I283,208,AFE Global.PowerState,AFE global power-state readback.,Required,Both,implemented,afe,SystemStatusSnapshot.afe_global.power_state_bit; global_control_raw bit 1,"Native and deployed ABI2.0 RPC/full regression passed. Raw register state, not measured physical power; full-stream/new-firmware qualification remains."
I284,209,AFE Global.ResetAsserted,AFE global reset readback.,Required,Both,implemented,afe,SystemStatusSnapshot.afe_global.reset_asserted; global_control_raw bit 0,78504f1 native/deployed ABI2.0 observed reset clear. Candidate 4e74f10 adds native-qualified reset-health assessment but is not deployed; physical transitions and full-stream remain unqualified.
I285,210,AFE Global.BusyAfe0,AFE0 configuration busy.,Required,Both,implemented,afe,SystemStatusSnapshot.afe_global.busy_afe0; global_control_raw bit 2,Native and deployed ABI2.0 idle samples passed; busy is instantaneous AFE/trim/offset SPI state not executor history. Active/full-stream transitions remain unqualified.
I286,211,AFE Global.BusyAfe12,AFE1/2 configuration busy.,Required,Both,implemented,afe,SystemStatusSnapshot.afe_global.busy_afe12; global_control_raw bit 3,Native and deployed ABI2.0 idle samples passed; busy combines AFE1/2 engines. Active/full-stream transitions remain unqualified.
I287,212,AFE Global.BusyAfe34,AFE3/4 configuration busy.,Required,Both,implemented,afe,SystemStatusSnapshot.afe_global.busy_afe34; global_control_raw bit 4,Native and deployed ABI2.0 idle samples passed; busy combines AFE3/4 engines. Active/full-stream transitions remain unqualified.
I288,213,AFE Global.BiasEnable,Board bias-enable register readback.,Required,Both,implemented,afe,SystemStatusSnapshot.afe_global.bias_enabled; bias_enable_raw bit 0,"Native and deployed ABI2.0 RPC/full regression observed existing enable=1; SC owns requested energization. Separate from BIASCTRL DAC cache and actual voltage; no policy/write changes. Physical transitions/full-stream remain unqualified."
I293,214,AFE.BiasVoltage,Measured AFE bias voltage.,Required,Both,implemented,rails,GeneralInfo VBIAS0..4 plus named voltage cache; readBiasVoltageMonitor returns mV,Acquisition/freshness is tested at BIAS/BIASCTRL zero; voltage calibration/nonzero operation remain unqualified.
I295,215,AFE.BiasVoltageError,Final measured-minus-target bias error.,Required,Both,partial,bias_loop,cmd_writeAFEBiasControlledSet_response.error_mv,Retain a timed/qualified terminal result for read-only telemetry; reply-only field is not a monitor. Physical nonzero-BIAS closed-loop behavior unqualified.
I296,216,AFE.BiasControlStatus,Closed-loop bias outcome enum.,Required,Both,partial,bias_loop,cmd_writeAFEBiasControlledSet_response.status,Retain a timed/qualified terminal result for read-only telemetry; reply-only field is not a monitor. Physical nonzero-BIAS closed-loop behavior unqualified.
I297,217,AFE.BiasControlSettled,Closed-loop bias reached its settling criterion.,Required,Both,partial,bias_loop,cmd_writeAFEBiasControlledSet_response.settled,Retain a timed/qualified terminal result for read-only telemetry; reply-only field is not a monitor. Physical nonzero-BIAS closed-loop behavior unqualified.
I298,218,AFE.BiasControlIterations,Closed-loop bias iterations used.,Required,Both,partial,bias_loop,cmd_writeAFEBiasControlledSet_response.iterations,Retain a timed/qualified terminal result for read-only telemetry; reply-only field is not a monitor. Physical nonzero-BIAS closed-loop behavior unqualified.
I299,219,AFE.BiasVoltageSlope,Final measured bias slope.,Required,Both,partial,bias_loop,cmd_writeAFEBiasControlledSet_response.final_slope_mv_per_s,Retain a timed/qualified terminal result for read-only telemetry; reply-only field is not a monitor. Physical nonzero-BIAS closed-loop behavior unqualified.
I300,220,AFE.BiasStableSamples,Consecutive stable samples at completion.,Required,Both,partial,bias_loop,cmd_writeAFEBiasControlledSet_response.stable_samples,Retain a timed/qualified terminal result for read-only telemetry; reply-only field is not a monitor. Physical nonzero-BIAS closed-loop behavior unqualified.
I312,221,AFE.Aligned,AFE alignment has a valid matched result.,Required,Both,partial,alignment,cmd_alignAFEs_response success/delay/bitslip and matched final-pattern checks,Add per-AFE retained match/quality/time and invalidation after resets/reconfiguration; never rerun alignment just to query status.
I316,222,Channels.CurrentMonitorRaw,Raw per-channel current-monitor ADC result.,Required,Both,implemented,current,cmd_readCurrentMonitor_response.raw_code plus channel/profile/quality/CRC/restoration evidence,Use explicit physical_channel 0..39; raw code/nominal volts are not calibrated current.
I317,223,Channels.Current,Calibrated per-channel current monitor value.,Required,Both,partial,current,Calibrated-current optional fields explicitly unavailable,Requires approved gain/scale/polarity/per-channel calibration and known-stimulus mapping with actual mezzanines.
SV001,224,Firmware.ObservedVariant,Gateware variant read from the admitted identity block: 1 self-trigger or 2 full-stream.,Required,Both,implemented,fpga,GatewareIdentityStatus.variant/abi/magic with acquisition/quality brackets,Live self-trigger ABI2.0 observed; full-stream/new-firmware hardware remains unqualified.
SV002,225,Firmware.ObservedAbi,Observed register ABI major/minor read by the server before interpreting controls.,Required,Both,implemented,fpga,GatewareIdentityStatus.variant/abi/magic with acquisition/quality brackets,Live self-trigger ABI2.0 observed; full-stream/new-firmware hardware remains unqualified.
SV003,226,Firmware.IdentityMagic,Gateware identity magic confirming that the common identity block is present.,Required,Both,implemented,fpga,GatewareIdentityStatus.variant/abi/magic with acquisition/quality brackets,Live self-trigger ABI2.0 observed; full-stream/new-firmware hardware remains unqualified.
SV004,227,Firmware.AdmissionResult,"Result of checking expected mode, ABI and build before hardware access.",Required,Both,partial,fpga,Startup admission validation and matches_admitted_profile at runtime,No complete structured startup-failure/admission event record; process absence must not be reported as successful admission.
SV005,228,Firmware.Capabilities,"Advertised supported settings, RPCs, channel/output counts and mode-specific diagnostics.",Required,Both,partial,capabilities,SystemStatusSnapshot.capabilities: 22 named supported/reason entries,Add structured setting/RPC/count/output/mode descriptors as needed; current list is not exhaustive schema compatibility.
SV006,229,Services.Name,"Stable service identity so version, status and diagnostics can be joined per service.",Required,Both,implemented,services,ServiceStatus.name from fixed allow-listed unit IDs,Stable join key exists for eight units; other services are not silently discovered.
SV007,230,Services.Version,"Version of each installed service executable or script package, reported by daphne-server.",Required,Both,partial,services,ServerBuildInfo covers daphne-server; no per-service build/version fields,Add controlled provenance for each service executable/script package without guessing versions from active state or compiler dependencies.
